cl,lcl,fw,species,longitude,is_gravid,rcl,stage,sex,id,cw,latitude
21,16,15,A. farensis,-8.01873,FALSE,10,juvenile,?,1,27,37.02606
21,13,16,A. farensis,NA,FALSE,15,juvenile,?,2,27,NA
15,9,10,A. farensis,NA,TRUE,5,juvenile,female,3,19,NA
21,16,19,A. farensis,NA,FALSE,14,juvenile,male or female,4,26,NA
19,8,14,A. farensis,NA,FALSE,7,juvenile,female,5,24,NA
17,7,15,A. farensis,NA,FALSE,6,juvenile,female,6,22,NA
19,14,15,A. farensis,NA,FALSE,9,juvenile,female,7,25,NA
14,13,8,A. farensis,NA,FALSE,5,juvenile,female,8,18,NA
19,10,11,A. farensis,NA,TRUE,10,juvenile,female,9,24,NA
19,12,19,A. farensis,NA,FALSE,12,juvenile,female,10,24,NA
17,8,8,A. farensis,NA,FALSE,13,juvenile,female,11,21,NA
20,16,18,A. farensis,NA,FALSE,15,juvenile,female,12,25,NA
22,13,15,A. farensis,NA,FALSE,11,juvenile, ,13,27,NA
15,9,11,A. farensis,NA,FALSE,10,juvenile,female,14,19,NA
17,8,13,A. farensis,NA,TRUE,6,juvenile,female,15,22,NA
22,19,15,A. farensis,NA,FALSE,16,juvenile, ,16,27,NA
22,13,11,A. farensis,NA,FALSE,12,juvenile,male or female,17,28,NA
14,8,10,A. farensis,NA,FALSE,9,juvenile,female,18,17,NA
17,8,15,A. farensis,NA,FALSE,11,juvenile,female,19,22,NA
18,11,9,A. farensis,NA,FALSE,13,juvenile,female,20,23,NA
21,14,18,A. farensis,NA,FALSE,14,juvenile,-,21,27,NA
14,11,7,A. farensis,NA,FALSE,13,juvenile,female,22,18,NA
22,12,20,A. farensis,NA,FALSE,12,juvenile,?,23,28,NA
22,11,11,A. farensis,NA,FALSE,10,juvenile,?,24,27,NA
14,6,11,A. farensis,NA,FALSE,7,juvenile,female,25,17,NA
18,11,11,A. farensis,NA,FALSE,9,juvenile,female,26,22,NA
17,8,14,A. farensis,NA,FALSE,10,juvenile,female,27,21,NA
21,18,21,A. farensis,NA,FALSE,14,juvenile,?,28,27,NA
18,10,16,A. farensis,NA,FALSE,9,juvenile,female,29,21,NA
21,8,16,A. farensis,NA,FALSE,13,juvenile,,30,26,NA
