cl,lcl,fw,species,longitude,is_gravid,rcl,stage,sex,id,cw,latitude
13,10,9,A. farensis,-7.99163,FALSE,9,juvenile,male or female,1,16,37.01025
14,10,7,A. farensis,NA,FALSE,7,juvenile,female,2,18,NA
21,14,16,A. farensis,NA,FALSE,11,pre_puberty,female,3,26,NA
29,20,20,A. farensis,NA,FALSE,18,pre_puberty,female,4,37,NA
33,17,17,A. farensis,NA,FALSE,14,sub_adult,female,5,42,NA
26,21,21,A. farensis,NA,FALSE,19,sub_adult,female,6,34,NA
43,28,24,A. farensis,NA,FALSE,32,sub_adult,female,7,56,NA
43,23,36,A. farensis,NA,FALSE,34,sub_adult,female,8,55,NA
29,17,23,A. farensis,NA,FALSE,16,sub_adult,female,9,37,NA
32,19,29,A. farensis,NA,FALSE,22,sub_adult,female,10,42,NA
29,19,28,A. farensis,NA,FALSE,15,sub_adult,female,11,36,NA
33,12,30,A. farensis,NA,FALSE,26,sub_adult,female,12,42,NA
31,23,21,A. farensis,NA,FALSE,16,sub_adult,female,13,41,NA
33,17,32,A. farensis,NA,FALSE,17,sub_adult,female,14,43,NA
25,20,25,A. farensis,NA,FALSE,15,sub_adult,female,15,32,NA
44,36,28,A. farensis,NA,FALSE,37,adult,female,16,57,NA
51,39,39,A. farensis,NA,FALSE,33,adult,female,17,67,NA
45,32,40,A. farensis,NA,FALSE,26,adult,female,18,58,NA
60,34,38,A. farensis,NA,FALSE,47,adult,female,19,79,NA
37,26,30,A. farensis,NA,FALSE,27,adult,female,20,47,NA
60,48,40,A. farensis,NA,FALSE,44,adult,female,21,79,NA
35,24,18,A. farensis,NA,TRUE,23,adult,female,22,44,NA
39,22,30,A. farensis,NA,FALSE,24,adult,female,23,49,NA
35,19,30,A. farensis,NA,FALSE,22,adult,female,24,44,NA
48,25,38,A. farensis,NA,FALSE,29,adult,female,25,63,NA
41,29,30,A. farensis,NA,FALSE,30,adult,female,26,53,NA
55,37,50,A. farensis,NA,FALSE,38,adult,female,27,73,NA
49,28,49,A. farensis,NA,FALSE,30,adult,female,28,64,NA
57,39,51,A. farensis,NA,FALSE,38,adult,female,29,76,NA
39,22,40,A. farensis,NA,FALSE,26,adult,female,30,48,NA
55,35,38,A. farensis,NA,FALSE,37,adult,female,31,72,NA
51,31,45,A. farensis,NA,FALSE,37,adult,female,32,67,NA
33,28,36,A. farensis,NA,FALSE,24,adult,female,33,44,NA
46,23,31,A. farensis,NA,FALSE,34,adult,female,34,60,NA
32,24,30,A. farensis,NA,FALSE,19,adult,female,35,42,NA
34,19,23,A. farensis,NA,FALSE,22,adult,female,36,44,NA
51,28,34,A. farensis,NA,FALSE,30,adult,female,37,66,NA
52,32,36,A. farensis,NA,FALSE,28,adult,female,38,67,NA
49,40,31,A. farensis,NA,FALSE,28,adult,female,39,64,NA
54,38,41,A. farensis,NA,FALSE,35,adult,female,40,71,NA
33,18,33,A. farensis,NA,FALSE,21,adult,female,41,42,NA
32,22,19,A. farensis,NA,TRUE,18,adult,female,42,42,NA
55,38,46,A. farensis,NA,FALSE,28,adult,female,43,72,NA
56,30,47,A. farensis,NA,FALSE,31,adult,female,44,72,NA
54,40,49,A. farensis,NA,FALSE,33,adult,female,45,71,NA
42,21,40,A. farensis,NA,FALSE,34,adult,female,46,52,NA
34,19,27,A. farensis,NA,FALSE,19,adult,female,47,44,NA
42,18,32,A. farensis,NA,FALSE,26,adult,female,48,55,NA
49,23,50,A. farensis,NA,FALSE,25,adult,female,49,61,NA
56,44,31,A. farensis,NA,TRUE,36,adult,female,50,73,NA
47,31,36,A. farensis,NA,FALSE,35,adult,female,51,62,NA
36,31,28,A. farensis,NA,FALSE,28,adult,female,52,48,NA
41,27,32,A. farensis,NA,FALSE,27,adult,female,53,54,NA
61,39,32,A. farensis,NA,FALSE,43,adult,female,54,79,NA
57,42,34,A. farensis,NA,FALSE,46,adult,female,55,75,NA
31,22,31,A. farensis,NA,FALSE,16,adult,female,56,41,NA
36,24,25,A. farensis,NA,FALSE,24,adult,female,57,46,NA
46,38,32,A. farensis,NA,FALSE,25,adult,female,58,60,NA
46,22,39,A. farensis,NA,FALSE,30,adult,female,59,61,NA
42,29,25,A. farensis,NA,FALSE,28,adult,female,60,55,NA
37,25,25,A. farensis,NA,FALSE,25,adult,female,61,48,NA
53,35,52,A. farensis,NA,FALSE,35,adult,female,62,69,NA
40,23,38,A. farensis,NA,TRUE,27,adult,female,63,52,NA
45,23,41,A. farensis,NA,TRUE,31,adult,female,64,57,NA
55,32,53,A. farensis,NA,FALSE,36,adult,female,65,72,NA
36,23,29,A. farensis,NA,FALSE,27,adult,female,66,48,NA
51,37,49,A. farensis,NA,FALSE,36,adult,female,67,67,NA
58,38,27,A. farensis,NA,TRUE,35,adult,female,68,76,NA
42,26,24,A. farensis,NA,FALSE,31,adult,female,69,55,NA
55,39,37,A. farensis,NA,TRUE,26,adult,female,70,70,NA
35,29,20,A. farensis,NA,FALSE,21,adult,female,71,45,NA
18,10,16,A. farensis,NA,FALSE,11,juvenile,male or female,72,23,NA
17,15,8,A. farensis,NA,FALSE,9,juvenile,male,73,21,NA
27,17,18,A. farensis,NA,FALSE,17,pre_puberty,male or female,74,34,NA
23,9,21,A. farensis,NA,FALSE,15,pre_puberty,male,75,29,NA
45,29,29,A. farensis,NA,FALSE,79,sub_adult,male,76,58,NA
38,23,36,A. farensis,NA,FALSE,70,sub_adult,male,77,50,NA
44,24,33,A. farensis,NA,FALSE,74,sub_adult,male,78,57,NA
34,31,20,A. farensis,NA,FALSE,60,sub_adult,male,79,44,NA
38,25,19,A. farensis,NA,FALSE,63,sub_adult,male,80,49,NA
34,20,28,A. farensis,NA,FALSE,65,sub_adult,male,81,44,NA
49,24,29,A. farensis,NA,FALSE,93,sub_adult,male,82,65,NA
33,22,30,A. farensis,NA,FALSE,53,sub_adult,male,83,42,NA
41,28,29,A. farensis,NA,FALSE,77,sub_adult,male,84,53,NA
40,32,40,A. farensis,NA,FALSE,87,sub_adult,male,85,53,NA
35,28,35,A. farensis,NA,FALSE,69,sub_adult,male,86,45,NA
57,40,60,A. farensis,NA,FALSE,105,adult,male,87,75,NA
93,66,50,A. farensis,NA,FALSE,168,adult,male,88,123,NA
107,74,91,A. farensis,NA,FALSE,177,adult,male,89,142,NA
70,39,44,A. farensis,NA,FALSE,111,adult,male,90,92,NA
83,53,56,A. farensis,NA,FALSE,161,adult,male,91,109,NA
90,72,50,A. farensis,NA,FALSE,174,adult,male,92,118,NA
62,38,54,A. farensis,NA,FALSE,115,adult,male,93,82,NA
93,56,95,A. farensis,NA,FALSE,168,adult,male,94,122,NA
102,72,80,A. farensis,NA,FALSE,189,adult,male,95,134,NA
74,47,66,A. farensis,NA,FALSE,139,adult,male,96,98,NA
77,55,49,A. farensis,NA,FALSE,167,adult,male,97,101,NA
93,66,59,A. farensis,NA,FALSE,179,adult,male,98,123,NA
78,52,62,A. farensis,NA,FALSE,143,adult,male,99,102,NA
80,56,69,A. farensis,NA,FALSE,130,adult,male,100,104,NA
69,44,53,A. farensis,NA,FALSE,136,adult,male,101,90,NA
80,60,51,A. farensis,NA,FALSE,134,adult,male,102,105,NA
71,49,49,A. farensis,NA,FALSE,119,adult,male,103,94,NA
80,51,73,A. farensis,NA,FALSE,147,adult,male,104,104,NA
59,45,58,A. farensis,NA,FALSE,119,adult,male,105,78,NA
89,58,54,A. farensis,NA,FALSE,162,adult,male,106,116,NA
77,53,44,A. farensis,NA,FALSE,139,adult,male,107,101,NA
63,35,51,A. farensis,NA,FALSE,122,adult,male,108,83,NA
61,40,54,A. farensis,NA,FALSE,114,adult,male,109,81,NA
103,65,70,A. farensis,NA,FALSE,187,adult,male,110,135,NA
87,66,96,A. farensis,NA,FALSE,153,adult,male,111,114,NA
89,54,94,A. farensis,NA,FALSE,154,adult,male,112,118,NA
105,70,96,A. farensis,NA,FALSE,202,adult,male,113,139,NA
68,37,51,A. farensis,NA,FALSE,133,adult,male,114,89,NA
90,70,93,A. farensis,NA,FALSE,179,adult,male,115,119,NA
55,36,55,A. farensis,NA,FALSE,106,adult,male,116,72,NA
85,59,58,A. farensis,NA,FALSE,140,adult,male,117,112,NA
60,41,50,A. farensis,NA,FALSE,115,adult,male,118,79,NA
101,54,83,A. farensis,NA,FALSE,171,adult,male,119,133,NA
76,56,57,A. farensis,NA,FALSE,153,adult,male,120,101,NA
87,62,66,A. farensis,NA,FALSE,153,adult,male,121,114,NA
105,69,66,A. farensis,NA,FALSE,185,adult,male,122,137,NA
58,38,39,A. farensis,NA,FALSE,123,adult,male,123,76,NA
75,46,42,A. farensis,NA,FALSE,53,adult,male,124,98,NA
98,58,99,A. farensis,NA,FALSE,66,adult,male,125,129,NA
67,48,39,A. farensis,NA,FALSE,131,adult,male,126,88,NA
66,51,35,A. farensis,NA,FALSE,138,adult,male,127,87,NA
71,39,43,A. farensis,NA,FALSE,123,adult,male,128,93,NA
70,48,45,A. farensis,NA,FALSE,145,adult,male,129,92,NA
100,59,94,A. farensis,NA,FALSE,168,adult,male,130,131,NA
70,44,48,A. farensis,NA,FALSE,132,adult,male,131,91,NA
58,39,36,A. farensis,NA,FALSE,96,adult,male,132,76,NA
71,42,58,A. farensis,NA,FALSE,130,adult,male,133,94,NA
67,43,67,A. farensis,NA,FALSE,119,adult,male,134,88,NA
62,42,63,A. farensis,NA,FALSE,110,adult,male,135,83,NA
70,44,51,A. farensis,NA,FALSE,137,adult,male,136,93,NA
96,58,95,A. farensis,NA,FALSE,174,adult,male,137,126,NA
56,45,37,A. farensis,NA,FALSE,100,adult,male,138,73,NA
95,50,66,A. farensis,NA,FALSE,178,adult,male,139,124,NA
105,79,77,A. farensis,NA,FALSE,192,adult,male,140,139,NA
75,45,45,A. farensis,NA,FALSE,138,adult,male,141,99,NA
101,64,84,A. farensis,NA,FALSE,181,adult,male,142,133,NA
13,13,6,U. olhanensis,NA,FALSE,10,juvenile,?,143,17,NA
12,12,5,U. olhanensis,NA,FALSE,13,juvenile,female,144,16,NA
9,4,4,U. olhanensis,NA,FALSE,5,juvenile,female,145,11,NA
15,14,6,U. olhanensis,NA,TRUE,9,pre_puberty,female,146,20,NA
15,10,9,U. olhanensis,NA,FALSE,13,pre_puberty,female,147,19,NA
18,20,12,U. olhanensis,NA,FALSE,15,pre_puberty,female,148,25,NA
21,10,11,U. olhanensis,NA,FALSE,18,sub_adult,female,149,29,NA
19,21,10,U. olhanensis,NA,FALSE,18,sub_adult,female,150,26,NA
20,21,9,U. olhanensis,NA,FALSE,15,sub_adult,female,151,27,NA
24,24,14,U. olhanensis,NA,FALSE,17,sub_adult,female,152,33,NA
25,22,15,U. olhanensis,NA,FALSE,22,sub_adult,female,153,33,NA
18,18,11,U. olhanensis,NA,FALSE,14,sub_adult,female,154,23,NA
26,22,14,U. olhanensis,NA,FALSE,21,sub_adult,female,155,34,NA
16,8,9,U. olhanensis,NA,FALSE,16,sub_adult,female,156,22,NA
20,15,10,U. olhanensis,NA,FALSE,22,sub_adult,female,157,28,NA
29,24,11,U. olhanensis,NA,FALSE,24,sub_adult,female,158,33,NA
23,20,10,U. olhanensis,NA,TRUE,16,sub_adult,female,159,31,NA
21,19,12,U. olhanensis,NA,FALSE,14,sub_adult,female,160,28,NA
26,16,12,U. olhanensis,NA,FALSE,23,sub_adult,female,161,33,NA
16,15,10,U. olhanensis,NA,FALSE,10,sub_adult,female,162,21,NA
18,13,10,U. olhanensis,NA,FALSE,14,sub_adult,female,163,23,NA
17,16,7,U. olhanensis,NA,FALSE,15,sub_adult,female,164,24,NA
24,18,17,U. olhanensis,NA,FALSE,21,adult,female,165,33,NA
26,18,15,U. olhanensis,NA,FALSE,18,adult,female,166,33,NA
32,27,16,U. olhanensis,NA,TRUE,23,adult,female,167,45,NA
35,30,22,U. olhanensis,NA,FALSE,30,adult,female,168,46,NA
29,36,16,U. olhanensis,NA,FALSE,20,adult,female,169,41,NA
33,24,19,U. olhanensis,NA,FALSE,26,adult,female,170,41,NA
19,13,12,U. olhanensis,NA,FALSE,19,adult,female,171,25,NA
21,15,13,U. olhanensis,NA,FALSE,16,adult,female,172,27,NA
33,30,15,U. olhanensis,NA,FALSE,21,adult,female,173,43,NA
21,20,12,U. olhanensis,NA,FALSE,16,adult,female,174,29,NA
28,17,14,U. olhanensis,NA,FALSE,31,adult,female,175,35,NA
31,28,18,U. olhanensis,NA,FALSE,22,adult,female,176,43,NA
22,24,11,U. olhanensis,NA,FALSE,18,adult,female,177,31,NA
33,31,16,U. olhanensis,NA,FALSE,24,adult,female,178,47,NA
29,29,14,U. olhanensis,NA,FALSE,22,adult,female,179,39,NA
31,24,15,U. olhanensis,NA,FALSE,28,adult,female,180,41,NA
