region,season,quadrat,species,sex,stage,is_gravid,carapace_width,carapace_length,front_width,left_claw_length,right_claw_length
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,21,15,16,10
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,21,16,13,15
Ria Formosa,summer,1,Afruca farensis,female,juvenile,TRUE,19,15,10,9,5
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,26,21,19,16,14
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,24,19,14,8,7
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,22,17,15,7,6
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,25,19,15,14,9
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,18,14,8,13,5
Ria Formosa,summer,1,Afruca farensis,female,juvenile,TRUE,24,19,11,10,10
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,24,19,19,12,12
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,21,17,8,8,13
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,25,20,18,16,15
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,22,15,13,11
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,19,15,11,9,10
Ria Formosa,summer,1,Afruca farensis,female,juvenile,TRUE,22,17,13,8,6
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,22,15,19,16
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,28,22,11,13,12
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,17,14,10,8,9
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,22,17,15,8,11
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,23,18,9,11,13
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,21,18,14,14
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,18,14,7,11,13
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,28,22,20,12,12
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,22,11,11,10
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,17,14,11,6,7
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,22,18,11,11,9
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,21,17,14,8,10
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,27,21,21,18,14
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,21,18,16,10,9
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,26,21,16,8,13
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,25,20,14,16,12
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,26,20,18,10,7
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,21,16,12,8,12
Ria Formosa,summer,1,Afruca farensis,female,juvenile,TRUE,24,19,13,13,14
Ria Formosa,summer,1,Afruca farensis,female,juvenile,FALSE,16,13,9,8,8
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,37,29,25,24,25
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,24,20,17,14,10
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,27,21,20,10,17
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,39,29,21,17,18
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,34,26,26,15,18
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,30,23,15,20,10
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,31,24,21,15,14
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,TRUE,25,19,13,10,9
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,40,32,31,20,23
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,31,24,14,12,20
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,39,30,18,23,16
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,38,30,24,26,23
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,34,27,23,14,16
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,40,31,29,15,17
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,34,26,21,15,14
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,29,23,14,18,13
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,30,23,16,13,13
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,30,24,17,24,12
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,37,29,26,19,20
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,25,19,11,12,12
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,36,28,24,23,20
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,35,27,26,13,22
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,27,21,18,13,11
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,28,22,16,17,15
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,32,25,25,10,16
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,TRUE,35,27,22,16,18
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,40,31,24,21,22
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,36,28,24,22,16
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,33,26,25,24,17
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,38,29,16,14,20
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,27,21,16,11,13
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,28,22,16,15,11
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,37,29,23,14,23
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,35,27,20,15,18
Ria Formosa,summer,1,Afruca farensis,female,pre_puberty,FALSE,28,22,22,11,13
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,33,26,21,20,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,35,28,17,19,21
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,29,17,22,21
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,44,34,28,20,26
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,29,17,14,18
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,49,38,38,25,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,32,26,25,16,13
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,32,23,20,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,44,34,22,15,23
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,32,25,25,12,15
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,46,36,23,22,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,36,28,17,14,14
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,31,25,21,16
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,37,29,27,16
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,51,39,26,23,26
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,46,35,20,30,26
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,38,29,30,19,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,34,26,14,15,17
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,34,26,21,18,17
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,39,30,18,16,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,48,37,30,22,29
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,32,25,14,22,15
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,29,26,14,15
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,54,41,28,33,34
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,54,42,30,29,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,38,25,19,26
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,40,32,23,14,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,44,34,27,24,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,38,22,22,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,37,31,19,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,37,19,23,23
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,29,18,17,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,29,18,15,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,32,26,15,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,55,42,34,30,33
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,55,43,26,25,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,38,22,25,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,39,29,22,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,45,35,31,25,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,32,25,21,10,18
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,36,34,23,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,52,40,24,27,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,38,32,27,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,43,33,28,26,21
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,45,35,27,28,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,45,35,37,18,21
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,32,26,13,15,13
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,31,26,19,19
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,36,26,24,28
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,52,40,30,26,21
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,32,22,20,19
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,42,32,32,18,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,TRUE,46,36,33,19,14
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,46,35,32,32,26
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,49,39,39,28,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,32,30,23,19
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,54,41,34,26,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,55,42,47,22,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,38,29,18,24,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,49,39,38,20,23
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,54,43,41,27,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,46,36,20,28,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,TRUE,47,37,34,29,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,54,43,39,31,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,52,40,32,22,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,46,35,24,22,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,52,40,21,22,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,35,27,18,15,15
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,39,24,21,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,47,37,25,26,28
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,36,28,20,15,20
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,34,26,13,21,10
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,43,34,32,20,17
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,51,39,37,23,22
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,50,38,22,20,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,52,40,25,23,33
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,36,28,27,16,19
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,55,42,44,31,23
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,39,30,16,19,19
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,36,28,26,10,15
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,49,39,27,27,24
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,40,31,15,20,13
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,TRUE,51,39,28,22,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,41,32,19,19,18
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,48,37,27,20,25
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,51,39,38,26,27
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,37,28,20,18,16
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,33,26,18,15,17
Ria Formosa,summer,1,Afruca farensis,female,sub_adult,FALSE,35,28,26,18,16
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,67,51,28,26,33
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,77,59,42,37,37
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,47,50,28,28
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,64,49,29,34,31
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,48,37,33,27,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,61,47,35,36,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,47,36,24,28,27
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,58,44,36,23,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,53,41,40,25,29
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,45,34,27,17,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,47,37,41,20,24
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,69,53,49,28,38
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,56,43,38,19,33
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,57,43,31,30,34
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,59,45,24,25,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,57,44,40,23,30
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,45,35,25,17,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,73,56,31,37,43
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,64,49,41,38,35
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,72,55,33,36,38
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,71,54,33,37,34
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,77,60,50,45,43
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,75,57,35,42,39
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,53,40,29,29,24
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,50,38,27,20,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,70,53,48,33,37
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,70,54,30,36,38
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,77,58,37,33,44
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,72,55,52,37,38
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,45,35,32,20,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,52,40,36,18,28
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,48,38,23,23,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,71,55,30,43,32
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,45,36,20,26,18
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,45,35,25,23,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,43,34,23,17,18
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,42,32,17,19,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,61,47,38,29,37
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,44,34,32,18,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,70,53,32,38,39
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,69,53,39,37,40
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,75,57,37,40,40
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,61,46,50,32,29
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,74,57,31,39,35
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,58,44,40,33,36
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,46,36,35,20,17
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,58,44,24,29,23
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,79,61,54,36,39
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,59,46,30,26,24
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,50,41,23,25,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,50,39,23,25,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,48,44,35,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,66,52,40,31,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,53,41,27,29,30
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,42,32,30,22,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,58,44,27,26,35
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,74,56,31,35,38
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,63,49,40,41,34
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,54,42,41,27,34
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,47,35,28,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,76,58,58,48,47
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,60,46,43,31,26
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,47,36,35,24,26
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,48,40,32,32
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,78,59,31,47,33
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,53,40,40,30,35
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,73,55,38,38,41
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,52,40,28,23,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,47,36,35,16,26
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,42,33,26,30,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,50,39,35,23,23
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,54,41,32,29,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,46,35,22,21,19
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,52,40,33,26,25
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,41,31,24,23,28
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,80,61,52,44,32
Ria Formosa,summer,1,Afruca farensis,female,adult,TRUE,72,55,54,36,35
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,43,34,24,24,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,75,57,32,42,39
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,47,37,28,33
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,57,44,39,30,27
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,43,33,33,20,23
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,48,28,28,34
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,43,33,31,21,24
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,48,38,21,21,29
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,62,47,32,31,22
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,59,46,43,30,39
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,46,36,37,21,21
Ria Formosa,summer,1,Afruca farensis,female,adult,FALSE,46,35,19,29,27
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,23,18,14,11,8
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,29,23,12,12,16
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,21,17,10,11,9
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,16,10,8,9
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,20,16,13,12,8
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,24,19,11,13,11
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,17,14,10,8,14
